codigo,nombre,tipo,mov,EMCR,EVR,EM,Dif_EVR,Dif_EM,Factor_EVR,Factor_EM
16,País Vasco,Exteriores,Inmigraciones,24047,20547,14257,17,68.7,0.8545,0.5929
16,País Vasco,Internas,Inmigraciones,18696,18758,12644,-0.3,47.9,1.0033,0.6763
17,La Rioja,Exteriores,Emigraciones,3417,2154,2050,58.6,66.7,0.6304,0.5999
17,La Rioja,Internas,Emigraciones,5148,5123,3593,0.5,43.3,0.9951,0.6979
17,La Rioja,Exteriores,Inmigraciones,4865,3482,2845,39.7,71,0.7157,0.5848
17,La Rioja,Internas,Inmigraciones,5112,5074,3771,0.7,35.6,0.9926,0.7377
Total,Total,Exteriores,Emigraciones,693976,451187,379755,53.8,82.7,0.6501,0.5472
Total,Total,Internas,Emigraciones,499998,501239,361534,-0.2,38.3,1.0025,0.7231
Total,Total,Exteriores,Inmigraciones,885724,660727,526907,34.1,68.1,0.746,0.5949
Total,Total,Internas,Inmigraciones,502307,503643,364645,-0.3,37.8,1.0027,0.7259
