codigo,nombre,tipo,mov,EMCR,EVR,EM,Dif_EVR,Dif_EM,Factor_EVR,Factor_EM
17,Girona,Exteriores,Inmigraciones,19989,15025,10761,33,85.8,0.7517,0.5383
17,Girona,Internas,Inmigraciones,15614,15785,12047,-1.1,29.6,1.011,0.7716
18,Granada,Exteriores,Emigraciones,11580,5218,4961,121.9,133.4,0.4506,0.4284
18,Granada,Internas,Emigraciones,14035,14211,10885,-1.2,28.9,1.0125,0.7756
18,Granada,Exteriores,Inmigraciones,14049,9519,8033,47.6,74.9,0.6776,0.5718
18,Granada,Internas,Inmigraciones,14173,14234,11106,-0.4,27.6,1.0043,0.7836
19,Guadalajara,Exteriores,Emigraciones,3402,2109,2132,61.3,59.6,0.6199,0.6267
19,Guadalajara,Internas,Emigraciones,8659,8613,6233,0.5,38.9,0.9947,0.7198
19,Guadalajara,Exteriores,Inmigraciones,4368,3379,2462,29.3,77.4,0.7736,0.5636
19,Guadalajara,Internas,Inmigraciones,10355,10388,7512,-0.3,37.8,1.0032,0.7254
20,Gipuzkoa,Exteriores,Emigraciones,6950,4825,4104,44,69.3,0.6942,0.5905
20,Gipuzkoa,Internas,Emigraciones,8043,8008,5877,0.4,36.9,0.9956,0.7307
20,Gipuzkoa,Exteriores,Inmigraciones,7873,6839,4754,15.1,65.6,0.8687,0.6038
20,Gipuzkoa,Internas,Inmigraciones,7619,7575,5096,0.6,49.5,0.9942,0.6689
21,Huelva,Exteriores,Emigraciones,6369,2638,2170,141.4,193.5,0.4142,0.3407
21,Huelva,Internas,Emigraciones,6092,6155,4851,-1,25.6,1.0103,0.7963
21,Huelva,Exteriores,Inmigraciones,9930,5898,4684,68.4,112,0.594,0.4717
21,Huelva,Internas,Inmigraciones,6886,6966,5595,-1.1,23.1,1.0116,0.8125
22,Huesca,Exteriores,Emigraciones,2771,1579,1470,75.5,88.5,0.5698,0.5305
22,Huesca,Internas,Emigraciones,4950,4954,3500,-0.1,41.4,1.0008,0.7071
22,Huesca,Exteriores,Inmigraciones,3893,2840,2166,37.1,79.7,0.7295,0.5564
22,Huesca,Internas,Inmigraciones,5835,5801,4593,0.6,27,0.9942,0.7871
23,JaÈn,Exteriores,Emigraciones,2229,1199,1016,85.9,119.4,0.5379,0.4558
23,JaÈn,Internas,Emigraciones,9070,9048,7442,0.2,21.9,0.9976,0.8205
23,JaÈn,Exteriores,Inmigraciones,3464,2558,2109,35.4,64.2,0.7385,0.6088
23,JaÈn,Internas,Inmigraciones,6781,6840,5638,-0.9,20.3,1.0087,0.8314
24,LeÛn,Exteriores,Emigraciones,2761,1300,1256,112.4,119.8,0.4708,0.4549
24,LeÛn,Internas,Emigraciones,6923,6927,5305,-0.1,30.5,1.0006,0.7663
24,LeÛn,Exteriores,Inmigraciones,3521,2398,1928,46.8,82.6,0.6811,0.5476
24,LeÛn,Internas,Inmigraciones,6960,6969,5664,-0.1,22.9,1.0013,0.8138
25,Lleida,Exteriores,Emigraciones,8775,5879,5078,49.3,72.8,0.67,0.5787
25,Lleida,Internas,Emigraciones,7381,7392,5400,-0.1,36.7,1.0015,0.7316
25,Lleida,Exteriores,Inmigraciones,10113,8089,5677,25,78.1,0.7999,0.5614
25,Lleida,Internas,Inmigraciones,8867,8916,6526,-0.5,35.9,1.0055,0.736
26,La Rioja,Exteriores,Emigraciones,3417,2154,2050,58.6,66.7,0.6304,0.5999
26,La Rioja,Internas,Emigraciones,5148,5123,3593,0.5,43.3,0.9951,0.6979
26,La Rioja,Exteriores,Inmigraciones,4865,3482,2845,39.7,71,0.7157,0.5848
26,La Rioja,Internas,Inmigraciones,5112,5074,3771,0.7,35.6,0.9926,0.7377
27,Lugo,Exteriores,Emigraciones,1848,1029,939,79.6,96.8,0.5568,0.5081
27,Lugo,Internas,Emigraciones,4508,4504,3342,0.1,34.9,0.9991,0.7413
27,Lugo,Exteriores,Inmigraciones,3019,2250,1846,34.2,63.5,0.7453,0.6115
27,Lugo,Internas,Inmigraciones,4913,4919,3714,-0.1,32.3,1.0012,0.756
28,Madrid,Exteriores,Emigraciones,129015,89923,70569,43.5,82.8,0.697,0.547
28,Madrid,Internas,Emigraciones,105348,106003,78600,-0.6,34,1.0062,0.7461
28,Madrid,Exteriores,Inmigraciones,161784,121090,98870,33.6,63.6,0.7485,0.6111
28,Madrid,Internas,Inmigraciones,89383,89702,62546,-0.4,42.9,1.0036,0.6998
29,M·laga,Exteriores,Emigraciones,35019,20678,19236,69.4,82,0.5905,0.5493
29,M·laga,Internas,Emigraciones,20382,20460,14533,-0.4,40.2,1.0038,0.713
29,M·laga,Exteriores,Inmigraciones,48942,38655,31816,26.6,53.8,0.7898,0.6501
29,M·laga,Internas,Inmigraciones,25618,25894,19526,-1.1,31.2,1.0108,0.7622
30,Murcia,Exteriores,Emigraciones,23242,12837,12267,81.1,89.5,0.5523,0.5278
30,Murcia,Internas,Emigraciones,18228,18106,12239,0.7,48.9,0.9933,0.6714
30,Murcia,Exteriores,Inmigraciones,31686,24541,19121,29.1,65.7,0.7745,0.6035
30,Murcia,Internas,Inmigraciones,19404,19335,13717,0.4,41.5,0.9964,0.7069
31,Navarra,Exteriores,Emigraciones,7563,5196,4309,45.6,75.5,0.687,0.5697
31,Navarra,Internas,Emigraciones,8217,8160,5684,0.7,44.6,0.9931,0.6917
31,Navarra,Exteriores,Inmigraciones,10298,8336,6232,23.5,65.2,0.8095,0.6052
31,Navarra,Internas,Inmigraciones,8657,8616,5942,0.5,45.7,0.9953,0.6864
32,Ourense,Exteriores,Emigraciones,1951,1059,917,84.2,112.8,0.5428,0.47
32,Ourense,Internas,Emigraciones,4695,4677,3326,0.4,41.2,0.9962,0.7084
32,Ourense,Exteriores,Inmigraciones,3601,2817,2506,27.8,43.7,0.7823,0.6959
32,Ourense,Internas,Inmigraciones,5342,5329,3944,0.2,35.4,0.9976,0.7383
33,Asturias,Exteriores,Emigraciones,6256,3791,3537,65,76.9,0.606,0.5654
33,Asturias,Internas,Emigraciones,9762,9712,6988,0.5,39.7,0.9949,0.7158
33,Asturias,Exteriores,Inmigraciones,7566,5910,4877,28,55.1,0.7811,0.6446
33,Asturias,Internas,Inmigraciones,9892,10020,7614,-1.3,29.9,1.0129,0.7697
34,Palencia,Exteriores,Emigraciones,717,423,473,69.5,51.6,0.59,0.6597
34,Palencia,Internas,Emigraciones,2637,2641,1978,-0.2,33.3,1.0015,0.7501
34,Palencia,Exteriores,Inmigraciones,1099,859,704,27.9,56.1,0.7816,0.6406
34,Palencia,Internas,Inmigraciones,2509,2522,1967,-0.5,27.6,1.0052,0.784
35,Las Palmas,Exteriores,Emigraciones,17399,8241,8518,111.1,104.3,0.4736,0.4896
35,Las Palmas,Internas,Emigraciones,14907,14931,10917,-0.2,36.5,1.0016,0.7323
35,Las Palmas,Exteriores,Inmigraciones,22304,15080,12583,47.9,77.3,0.6761,0.5642
35,Las Palmas,Internas,Inmigraciones,14194,14182,10139,0.1,40,0.9992,0.7143
36,Pontevedra,Exteriores,Emigraciones,5843,3041,2704,92.1,116.1,0.5205,0.4628
36,Pontevedra,Internas,Emigraciones,9338,9317,6739,0.2,38.6,0.9978,0.7217
36,Pontevedra,Exteriores,Inmigraciones,8268,6156,5246,34.3,57.6,0.7446,0.6345
36,Pontevedra,Internas,Inmigraciones,10311,10431,8115,-1.2,27.1,1.0116,0.787
37,Salamanca,Exteriores,Emigraciones,2396,1155,1432,107.4,67.3,0.4821,0.5977
37,Salamanca,Internas,Emigraciones,5363,5356,4047,0.1,32.5,0.9987,0.7546
37,Salamanca,Exteriores,Inmigraciones,3783,2771,2543,36.5,48.8,0.7325,0.6722
37,Salamanca,Internas,Inmigraciones,4811,4820,3848,-0.2,25,1.0019,0.7998
38,Tenerife,Exteriores,Emigraciones,18117,6809,6274,166.1,188.8,0.3758,0.3463
38,Tenerife,Internas,Emigraciones,13044,13022,8656,0.2,50.7,0.9983,0.6636
38,Tenerife,Exteriores,Inmigraciones,24657,17063,14897,44.5,65.5,0.692,0.6042
38,Tenerife,Internas,Inmigraciones,13091,13076,9133,0.1,43.3,0.9989,0.6977
39,Cantabria,Exteriores,Emigraciones,3800,2298,2156,65.4,76.3,0.6047,0.5674
39,Cantabria,Internas,Emigraciones,8243,8180,5585,0.8,47.6,0.9924,0.6775
39,Cantabria,Exteriores,Inmigraciones,5989,4742,3882,26.3,54.3,0.7918,0.6482
39,Cantabria,Internas,Inmigraciones,9681,9745,7362,-0.7,31.5,1.0066,0.7605
40,Segovia,Exteriores,Emigraciones,1609,1023,1249,57.3,28.8,0.6358,0.7763
40,Segovia,Internas,Emigraciones,3950,3948,2875,0.1,37.4,0.9995,0.7278
