codigo,nombre,tipo,mov,EMCR,EVR,Dif_EVR,Factor_EVR
6130,Tamurejo,Internas,Emigraciones,10,10,0.0,1.000
6131,Torre de Miguel Sesmero,Internas,Emigraciones,24,26,-7.7,1.083
6132,Torremayor,Internas,Emigraciones,39,37,5.4,0.949
6133,Torremejía,Internas,Emigraciones,54,53,1.9,0.981
6134,Trasierra,Internas,Emigraciones,8,8,0.0,1.000
6135,Trujillanos,Internas,Emigraciones,50,50,0.0,1.000
6136,Usagre,Internas,Emigraciones,37,36,2.8,0.973
6137,Valdecaballeros,Internas,Emigraciones,46,44,4.5,0.957
6138,Valdetorres,Internas,Emigraciones,36,33,9.1,0.917
6139,Valencia de las Torres,Internas,Emigraciones,11,11,0.0,1.000
6140,Valencia del Mombuey,Internas,Emigraciones,15,16,-6.3,1.067
6141,Valencia del Ventoso,Internas,Emigraciones,34,35,-2.9,1.029
6142,Valverde de Burguillos,Internas,Emigraciones,13,13,0.0,1.000
6143,Valverde de Leganés,Internas,Emigraciones,54,54,0.0,1.000
6144,Valverde de Llerena,Internas,Emigraciones,16,15,6.7,0.938
6145,Valverde de Mérida,Internas,Emigraciones,26,27,-3.7,1.038
6146,Valle de la Serena,Internas,Emigraciones,33,33,0.0,1.000
